Frequency ratio for engciphertext 2 grams:
cd 2.26	 Occurrences:61
nz 1.97	 Occurrences:53
dn 1.82	 Occurrences:49
ob 1.82	 Occurrences:49
cn 1.63	 Occurrences:44
yz 1.56	 Occurrences:42
cy 1.52	 Occurrences:41
iz 1.45	 Occurrences:39
xv 1.41	 Occurrences:38
co 1.37	 Occurrences:37
zx 1.37	 Occurrences:37
vc 1.37	 Occurrences:37
hc 1.37	 Occurrences:37
eb 1.37	 Occurrences:37
zn 1.34	 Occurrences:36
et 1.19	 Occurrences:32
yb 1.19	 Occurrences:32
hn 1.19	 Occurrences:32
nh 1.15	 Occurrences:31
nb 1.11	 Occurrences:30
nc 1.04	 Occurrences:28
sn 1.0	 Occurrences:27
oh 1.0	 Occurrences:27
oi 0.96	 Occurrences:26
nr 0.93	 Occurrences:25
bc 0.89	 Occurrences:24
bi 0.89	 Occurrences:24
yl 0.89	 Occurrences:24
ni 0.89	 Occurrences:24
zo 0.89	 Occurrences:24
ze 0.85	 Occurrences:23
oy 0.85	 Occurrences:23
vd 0.78	 Occurrences:21
ec 0.78	 Occurrences:21
tn 0.78	 Occurrences:21
oc 0.78	 Occurrences:21
rn 0.74	 Occurrences:20
bo 0.74	 Occurrences:20
ne 0.74	 Occurrences:20
ph 0.71	 Occurrences:19
tx 0.71	 Occurrences:19
bk 0.71	 Occurrences:19
tt 0.71	 Occurrences:19
ei 0.71	 Occurrences:19
he 0.71	 Occurrences:19
iy 0.67	 Occurrences:18
ce 0.67	 Occurrences:18
br 0.67	 Occurrences:18
yk 0.56	 Occurrences:15
ho 0.52	 Occurrences:14
id 0.52	 Occurrences:14
de 0.52	 Occurrences:14
hx 0.52	 Occurrences:14
ev 0.48	 Occurrences:13
nq 0.48	 Occurrences:13
fn 0.48	 Occurrences:13
do 0.48	 Occurrences:13
in 0.48	 Occurrences:13
be 0.48	 Occurrences:13
io 0.48	 Occurrences:13
un 0.48	 Occurrences:13
eh 0.48	 Occurrences:13
