Frequency ratio for engciphertext 3 grams:
cdn 1.37	 Occurrences:37
zxv 1.34	 Occurrences:36
izx 1.3	 Occurrences:35
xvc 1.3	 Occurrences:35
coy 0.82	 Occurrences:22
oyb 0.82	 Occurrences:22
dnz 0.71	 Occurrences:19
vcy 0.63	 Occurrences:17
ett 0.56	 Occurrences:15
ebr 0.56	 Occurrences:15
phn 0.56	 Occurrences:15
hcd 0.48	 Occurrences:13
cnz 0.48	 Occurrences:13
nbi 0.45	 Occurrences:12
biz 0.45	 Occurrences:12
vco 0.45	 Occurrences:12
obk 0.45	 Occurrences:12
lyz 0.41	 Occurrences:11
eco 0.41	 Occurrences:11
vdn 0.41	 Occurrences:11
unx 0.41	 Occurrences:11
ttx 0.41	 Occurrences:11
hcn 0.37	 Occurrences:10
cnq 0.37	 Occurrences:10
ohc 0.37	 Occurrences:10
obc 0.37	 Occurrences:10
niz 0.37	 Occurrences:10
nzh 0.37	 Occurrences:10
ycd 0.37	 Occurrences:10
yzn 0.37	 Occurrences:10
snc 0.37	 Occurrences:10
ykz 0.33	 Occurrences:9
kze 0.33	 Occurrences:9
zev 0.33	 Occurrences:9
evd 0.33	 Occurrences:9
bcn 0.33	 Occurrences:9
nqc 0.33	 Occurrences:9
bob 0.33	 Occurrences:9
iov 0.33	 Occurrences:9
ovd 0.33	 Occurrences:9
ocd 0.33	 Occurrences:9
czo 0.33	 Occurrences:9
yrn 0.3	 Occurrences:8
cyk 0.3	 Occurrences:8
vdx 0.3	 Occurrences:8
fnz 0.3	 Occurrences:8
rob 0.3	 Occurrences:8
cde 0.3	 Occurrences:8
ncd 0.3	 Occurrences:8
oie 0.3	 Occurrences:8
ncz 0.3	 Occurrences:8
zoi 0.3	 Occurrences:8
neb 0.3	 Occurrences:8
obi 0.3	 Occurrences:8
xcy 0.26	 Occurrences:7
yli 0.26	 Occurrences:7
nzc 0.26	 Occurrences:7
yzr 0.26	 Occurrences:7
pbo 0.26	 Occurrences:7
atn 0.26	 Occurrences:7
rni 0.26	 Occurrences:7
nzn 0.26	 Occurrences:7
zei 0.26	 Occurrences:7
eic 0.26	 Occurrences:7
hxh 0.26	 Occurrences:7
xhc 0.26	 Occurrences:7
cns 0.26	 Occurrences:7
nbc 0.26	 Occurrences:7
coi 0.26	 Occurrences:7
