Frequency ratio for engciphertext 4 grams:
izxv 1.3	 Occurrences:35
zxvc 1.3	 Occurrences:35
coyb 0.82	 Occurrences:22
xvcy 0.63	 Occurrences:17
bizx 0.45	 Occurrences:12
xvco 0.41	 Occurrences:11
ecoy 0.41	 Occurrences:11
vdnz 0.41	 Occurrences:11
ettx 0.41	 Occurrences:11
vcoy 0.37	 Occurrences:10
hcdn 0.37	 Occurrences:10
ykze 0.33	 Occurrences:9
kzev 0.33	 Occurrences:9
zevd 0.33	 Occurrences:9
nbiz 0.33	 Occurrences:9
cnqc 0.33	 Occurrences:9
iovd 0.33	 Occurrences:9
ovdn 0.33	 Occurrences:9
vcyk 0.3	 Occurrences:8
cykz 0.3	 Occurrences:8
evdx 0.3	 Occurrences:8
obcn 0.3	 Occurrences:8
nizx 0.3	 Occurrences:8
cdnz 0.3	 Occurrences:8
nczo 0.3	 Occurrences:8
rniz 0.26	 Occurrences:7
ycdn 0.26	 Occurrences:7
hxhc 0.26	 Occurrences:7
xhcn 0.26	 Occurrences:7
hcns 0.26	 Occurrences:7
phnr 0.26	 Occurrences:7
hxss 0.26	 Occurrences:7
xssn 0.26	 Occurrences:7
ssnc 0.26	 Occurrences:7
sncz 0.26	 Occurrences:7
czoi 0.26	 Occurrences:7
cdnh 0.26	 Occurrences:7
vcyt 0.26	 Occurrences:7
oatn 0.22	 Occurrences:6
zeic 0.22	 Occurrences:6
cnsh 0.22	 Occurrences:6
sneb 0.22	 Occurrences:6
cyty 0.22	 Occurrences:6
ytyk 0.22	 Occurrences:6
ohcd 0.19	 Occurrences:5
lyzs 0.19	 Occurrences:5
yzse 0.19	 Occurrences:5
iett 0.19	 Occurrences:5
dnzn 0.19	 Occurrences:5
oybe 0.19	 Occurrences:5
oyby 0.19	 Occurrences:5
nrcy 0.19	 Occurrences:5
nunx 0.19	 Occurrences:5
jocd 0.19	 Occurrences:5
zoih 0.19	 Occurrences:5
oihx 0.19	 Occurrences:5
ihxh 0.19	 Occurrences:5
xvce 0.19	 Occurrences:5
iyrn 0.19	 Occurrences:5
bobk 0.19	 Occurrences:5
tykx 0.19	 Occurrences:5
jdoi 0.15	 Occurrences:4
doid 0.15	 Occurrences:4
ttnr 0.15	 Occurrences:4
vteo 0.15	 Occurrences:4
teob 0.15	 Occurrences:4
eobc 0.15	 Occurrences:4
bcnq 0.15	 Occurrences:4
dnzc 0.15	 Occurrences:4
nzcn 0.15	 Occurrences:4
zcnq 0.15	 Occurrences:4
nfnz 0.15	 Occurrences:4
etky 0.15	 Occurrences:4
tkyz 0.15	 Occurrences:4
kyzo 0.15	 Occurrences:4
yzoc 0.15	 Occurrences:4
zocd 0.15	 Occurrences:4
ocds 0.15	 Occurrences:4
ncdn 0.15	 Occurrences:4
cycd 0.15	 Occurrences:4
cdni 0.15	 Occurrences:4
snbc 0.15	 Occurrences:4
vzei 0.15	 Occurrences:4
eico 0.15	 Occurrences:4
icoi 0.15	 Occurrences:4
dnzh 0.15	 Occurrences:4
ocdy 0.15	 Occurrences:4
ebre 0.15	 Occurrences:4
ehxs 0.15	 Occurrences:4
nhni 0.15	 Occurrences:4
nebo 0.15	 Occurrences:4
ebob 0.15	 Occurrences:4
syzn 0.15	 Occurrences:4
nrob 0.15	 Occurrences:4
hcpr 0.15	 Occurrences:4
cprx 0.15	 Occurrences:4
prxy 0.15	 Occurrences:4
rxyl 0.15	 Occurrences:4
rizx 0.15	 Occurrences:4
hizx 0.11	 Occurrences:3
znln 0.11	 Occurrences:3
nlnz 0.11	 Occurrences:3
txcy 0.11	 Occurrences:3
cynb 0.11	 Occurrences:3
ynbi 0.11	 Occurrences:3
oybj 0.11	 Occurrences:3
obky 0.11	 Occurrences:3
ettn 0.11	 Occurrences:3
oybo 0.11	 Occurrences:3
znfn 0.11	 Occurrences:3
fnzh 0.11	 Occurrences:3
jyzr 0.11	 Occurrences:3
niov 0.11	 Occurrences:3
