Frequency ratio for turciphertext 2 grams:
çe 2.79	 Occurrences:92
eg 2.4	 Occurrences:79
eö 1.67	 Occurrences:55
ec 1.43	 Occurrences:47
mg 1.4	 Occurrences:46
dç 1.34	 Occurrences:44
fe 1.34	 Occurrences:44
tm 1.22	 Occurrences:40
bö 1.12	 Occurrences:37
gl 1.09	 Occurrences:36
ge 1.06	 Occurrences:35
çm 1.03	 Occurrences:34
bg 1.03	 Occurrences:34
ye 0.97	 Occurrences:32
lö 0.97	 Occurrences:32
te 0.94	 Occurrences:31
gm 0.91	 Occurrences:30
mc 0.88	 Occurrences:29
sb 0.85	 Occurrences:28
vç 0.85	 Occurrences:28
öe 0.79	 Occurrences:26
fm 0.76	 Occurrences:25
ce 0.73	 Occurrences:24
bç 0.73	 Occurrences:24
es 0.7	 Occurrences:23
mt 0.64	 Occurrences:21
sv 0.64	 Occurrences:21
çf 0.64	 Occurrences:21
ke 0.64	 Occurrences:21
mf 0.64	 Occurrences:21
ğv 0.64	 Occurrences:21
et 0.61	 Occurrences:20
ym 0.61	 Occurrences:20
cv 0.61	 Occurrences:20
öl 0.61	 Occurrences:20
çb 0.58	 Occurrences:19
çç 0.58	 Occurrences:19
bı 0.58	 Occurrences:19
ıb 0.58	 Occurrences:19
cy 0.55	 Occurrences:18
ek 0.55	 Occurrences:18
mö 0.55	 Occurrences:18
lg 0.52	 Occurrences:17
gb 0.52	 Occurrences:17
tb 0.52	 Occurrences:17
my 0.49	 Occurrences:16
zy 0.49	 Occurrences:16
yb 0.49	 Occurrences:16
eç 0.49	 Occurrences:16
ej 0.49	 Occurrences:16
jl 0.49	 Occurrences:16
gt 0.49	 Occurrences:16
je 0.49	 Occurrences:16
mç 0.49	 Occurrences:16
çt 0.49	 Occurrences:16
cm 0.46	 Occurrences:15
ef 0.46	 Occurrences:15
fş 0.46	 Occurrences:15
şg 0.46	 Occurrences:15
gf 0.46	 Occurrences:15
mj 0.43	 Occurrences:14
çv 0.43	 Occurrences:14
pm 0.43	 Occurrences:14
lç 0.43	 Occurrences:14
dö 0.43	 Occurrences:14
ey 0.43	 Occurrences:14
fb 0.43	 Occurrences:14
sç 0.43	 Occurrences:14
çd 0.43	 Occurrences:14
jb 0.39	 Occurrences:13
yç 0.39	 Occurrences:13
öd 0.39	 Occurrences:13
vz 0.39	 Occurrences:13
by 0.39	 Occurrences:13
bc 0.39	 Occurrences:13
yl 0.39	 Occurrences:13
bk 0.39	 Occurrences:13
cb 0.39	 Occurrences:13
vg 0.39	 Occurrences:13
gc 0.39	 Occurrences:13
cç 0.36	 Occurrences:12
lc 0.36	 Occurrences:12
bz 0.36	 Occurrences:12
öc 0.36	 Occurrences:12
şö 0.36	 Occurrences:12
vy 0.36	 Occurrences:12
tl 0.33	 Occurrences:11
hç 0.33	 Occurrences:11
rm 0.33	 Occurrences:11
öb 0.33	 Occurrences:11
yv 0.33	 Occurrences:11
e5 0.3	 Occurrences:10
5/ 0.3	 Occurrences:10
/1 0.3	 Occurrences:10
öm 0.3	 Occurrences:10
ea 0.3	 Occurrences:10
km 0.3	 Occurrences:10
çl 0.3	 Occurrences:10
oe 0.3	 Occurrences:10
zç 0.3	 Occurrences:10
am 0.3	 Occurrences:10
eu 0.3	 Occurrences:10
ul 0.3	 Occurrences:10
2^ 0.3	 Occurrences:10
^{ 0.3	 Occurrences:10
ub 0.3	 Occurrences:10
şf 0.3	 Occurrences:10
mr 0.27	 Occurrences:9
64 0.27	 Occurrences:9
eo 0.27	 Occurrences:9
gç 0.27	 Occurrences:9
öt 0.27	 Occurrences:9
ma 0.27	 Occurrences:9
yf 0.27	 Occurrences:9
fc 0.27	 Occurrences:9
cş 0.27	 Occurrences:9
bo 0.27	 Occurrences:9
ağ 0.27	 Occurrences:9
rğ 0.27	 Occurrences:9
ng 0.24	 Occurrences:8
me 0.24	 Occurrences:8
gn 0.24	 Occurrences:8
mm 0.24	 Occurrences:8
jy 0.24	 Occurrences:8
bh 0.24	 Occurrences:8
lj 0.24	 Occurrences:8
jd 0.24	 Occurrences:8
öv 0.24	 Occurrences:8
dg 0.24	 Occurrences:8
mk 0.24	 Occurrences:8
üö 0.24	 Occurrences:8
mu 0.24	 Occurrences:8
gv 0.24	 Occurrences:8
ae 0.24	 Occurrences:8
cf 0.24	 Occurrences:8
öj 0.24	 Occurrences:8
eı 0.24	 Occurrences:8
gy 0.24	 Occurrences:8
lf 0.24	 Occurrences:8
bn 0.21	 Occurrences:7
çn 0.21	 Occurrences:7
nj 0.21	 Occurrences:7
jg 0.21	 Occurrences:7
yg 0.21	 Occurrences:7
oy 0.21	 Occurrences:7
ös 0.21	 Occurrences:7
gs 0.21	 Occurrences:7
gj 0.21	 Occurrences:7
cs 0.21	 Occurrences:7
lb 0.21	 Occurrences:7
ee 0.21	 Occurrences:7
ör 0.21	 Occurrences:7
eh 0.21	 Occurrences:7
ğm 0.21	 Occurrences:7
ab 0.21	 Occurrences:7
öy 0.21	 Occurrences:7
1e 0.18	 Occurrences:6
vc 0.18	 Occurrences:6
22 0.18	 Occurrences:6
rb 0.18	 Occurrences:6
bj 0.18	 Occurrences:6
kl 0.18	 Occurrences:6
fç 0.18	 Occurrences:6
vp 0.18	 Occurrences:6
ez 0.18	 Occurrences:6
he 0.18	 Occurrences:6
lh 0.18	 Occurrences:6
lk 0.18	 Occurrences:6
öf 0.18	 Occurrences:6
rü 0.18	 Occurrences:6
fl 0.18	 Occurrences:6
ga 0.18	 Occurrences:6
zb 0.15	 Occurrences:5
vö 0.15	 Occurrences:5
se 0.15	 Occurrences:5
4s 0.15	 Occurrences:5
lz 0.15	 Occurrences:5
vb 0.15	 Occurrences:5
nd 0.15	 Occurrences:5
kj 0.15	 Occurrences:5
om 0.15	 Occurrences:5
öa 0.15	 Occurrences:5
vk 0.15	 Occurrences:5
lt 0.15	 Occurrences:5
mğ 0.15	 Occurrences:5
eb 0.15	 Occurrences:5
pe 0.15	 Occurrences:5
zl 0.15	 Occurrences:5
td 0.15	 Occurrences:5
kç 0.15	 Occurrences:5
bf 0.15	 Occurrences:5
yş 0.15	 Occurrences:5
şç 0.15	 Occurrences:5
cr 0.12	 Occurrences:4
va 0.12	 Occurrences:4
av 0.12	 Occurrences:4
ım 0.12	 Occurrences:4
çr 0.12	 Occurrences:4
kd 0.12	 Occurrences:4
cc 0.12	 Occurrences:4
öü 0.12	 Occurrences:4
ö, 0.12	 Occurrences:4
ct 0.12	 Occurrences:4
vı 0.12	 Occurrences:4
ls 0.12	 Occurrences:4
ıp 0.12	 Occurrences:4
vt 0.12	 Occurrences:4
eğ 0.12	 Occurrences:4
jş 0.12	 Occurrences:4
md 0.12	 Occurrences:4
ol 0.12	 Occurrences:4
bğ 0.12	 Occurrences:4
