Frequency ratio for turciphertext 3 grams:
çeg 1.34	 Occurrences:44
egl 1.03	 Occurrences:34
dçe 0.7	 Occurrences:23
çeö 0.7	 Occurrences:23
bıb 0.55	 Occurrences:18
ıbö 0.55	 Occurrences:18
glö 0.52	 Occurrences:17
ege 0.49	 Occurrences:16
cvç 0.49	 Occurrences:16
vçç 0.49	 Occurrences:16
ççe 0.49	 Occurrences:16
fec 0.46	 Occurrences:15
çfe 0.46	 Occurrences:15
yes 0.46	 Occurrences:15
eöl 0.43	 Occurrences:14
gec 0.43	 Occurrences:14
esç 0.43	 Occurrences:14
sçd 0.43	 Occurrences:14
ödç 0.4	 Occurrences:13
dçv 0.4	 Occurrences:13
çvz 0.4	 Occurrences:13
sbg 0.4	 Occurrences:13
çmf 0.36	 Occurrences:12
ete 0.36	 Occurrences:12
gfe 0.36	 Occurrences:12
ejl 0.33	 Occurrences:11
şgm 0.33	 Occurrences:11
mtm 0.33	 Occurrences:11
e5/ 0.3	 Occurrences:10
5/1 0.3	 Occurrences:10
mjb 0.3	 Occurrences:10
tbg 0.3	 Occurrences:10
mgb 0.3	 Occurrences:10
2^{ 0.3	 Occurrences:10
çdç 0.3	 Occurrences:10
vzy 0.3	 Occurrences:10
zyv 0.3	 Occurrences:10
yvg 0.3	 Occurrences:10
yçb 0.27	 Occurrences:9
çbc 0.27	 Occurrences:9
eöe 0.27	 Occurrences:9
rmg 0.27	 Occurrences:9
fmc 0.27	 Occurrences:9
mcy 0.27	 Occurrences:9
bzç 0.27	 Occurrences:9
zçm 0.27	 Occurrences:9
çmg 0.27	 Occurrences:9
tmö 0.27	 Occurrences:9
löe 0.27	 Occurrences:9
ağv 0.27	 Occurrences:9
rğv 0.27	 Occurrences:9
ymg 0.24	 Occurrences:8
ecy 0.24	 Occurrences:8
tlg 0.24	 Occurrences:8
sby 0.24	 Occurrences:8
byç 0.24	 Occurrences:8
gçe 0.24	 Occurrences:8
ybg 0.24	 Occurrences:8
fej 0.24	 Occurrences:8
jdö 0.24	 Occurrences:8
mtb 0.24	 Occurrences:8
eae 0.24	 Occurrences:8
fşf 0.24	 Occurrences:8
şfc 0.24	 Occurrences:8
fcş 0.24	 Occurrences:8
cşö 0.24	 Occurrences:8
cet 0.24	 Occurrences:8
bçt 0.24	 Occurrences:8
çnj 0.21	 Occurrences:7
njg 0.21	 Occurrences:7
teö 0.21	 Occurrences:7
yeg 0.21	 Occurrences:7
fmj 0.21	 Occurrences:7
ylg 0.21	 Occurrences:7
dçf 0.21	 Occurrences:7
fek 0.21	 Occurrences:7
eke 0.21	 Occurrences:7
çtm 0.21	 Occurrences:7
gmy 0.21	 Occurrences:7
mam 0.21	 Occurrences:7
eye 0.21	 Occurrences:7
eul 0.21	 Occurrences:7
mub 0.21	 Occurrences:7
vçe 0.21	 Occurrences:7
şöd 0.21	 Occurrences:7
egt 0.21	 Occurrences:7
teg 0.21	 Occurrences:7
ğmg 0.21	 Occurrences:7
cçe 0.18	 Occurrences:6
ygm 0.18	 Occurrences:6
eçl 0.18	 Occurrences:6
döv 0.18	 Occurrences:6
ölç 0.18	 Occurrences:6
lçe 0.18	 Occurrences:6
ecç 0.18	 Occurrences:6
bçm 0.18	 Occurrences:6
sbç 0.18	 Occurrences:6
lbı 0.18	 Occurrences:6
mfb 0.18	 Occurrences:6
mgm 0.18	 Occurrences:6
gmc 0.18	 Occurrences:6
myf 0.18	 Occurrences:6
yfm 0.18	 Occurrences:6
vgv 0.18	 Occurrences:6
efe 0.18	 Occurrences:6
gbö 0.18	 Occurrences:6
löl 0.18	 Occurrences:6
öeg 0.18	 Occurrences:6
ecb 0.18	 Occurrences:6
bke 0.18	 Occurrences:6
feö 0.18	 Occurrences:6
svy 0.18	 Occurrences:6
vye 0.18	 Occurrences:6
vgf 0.18	 Occurrences:6
böb 0.18	 Occurrences:6
çtb 0.18	 Occurrences:6
ölf 0.18	 Occurrences:6
zbn 0.15	 Occurrences:5
bng 0.15	 Occurrences:5
ngm 0.15	 Occurrences:5
etm 0.15	 Occurrences:5
böm 0.15	 Occurrences:5
4sb 0.15	 Occurrences:5
jgç 0.15	 Occurrences:5
bçf 0.15	 Occurrences:5
gte 0.15	 Occurrences:5
teo 0.15	 Occurrences:5
ekl 0.15	 Occurrences:5
klj 0.15	 Occurrences:5
ljl 0.15	 Occurrences:5
mçt 0.15	 Occurrences:5
tmm 0.15	 Occurrences:5
cmk 0.15	 Occurrences:5
mkj 0.15	 Occurrences:5
kjy 0.15	 Occurrences:5
jyg 0.15	 Occurrences:5
gme 0.15	 Occurrences:5
mef 0.15	 Occurrences:5
efş 0.15	 Occurrences:5
fşg 0.15	 Occurrences:5
jlb 0.15	 Occurrences:5
mçm 0.15	 Occurrences:5
çea 0.15	 Occurrences:5
